datetimeLocal,parameter,value
2026-09-14 00:00:00,pm2_5,17.8
2026-09-14 01:00:00,pm2_5,19.7
2026-09-14 02:00:00,pm2_5,20.9
2026-09-14 03:00:00,pm2_5,21.4
2026-09-14 04:00:00,pm2_5,21.4
2026-09-14 05:00:00,pm2_5,21.8
2026-09-14 06:00:00,pm2_5,23.8
2026-09-14 07:00:00,pm2_5,25.5
2026-09-14 08:00:00,pm2_5,27.3
2026-09-14 09:00:00,pm2_5,26.1
2026-09-14 10:00:00,pm2_5,27.9
2026-09-14 11:00:00,pm2_5,27.4
2026-09-14 12:00:00,pm2_5,29.6
2026-09-14 13:00:00,pm2_5,34.3
2026-09-14 14:00:00,pm2_5,39.0
2026-09-14 15:00:00,pm2_5,39.6
2026-09-14 16:00:00,pm2_5,41.4
2026-09-14 17:00:00,pm2_5,41.8
2026-09-14 18:00:00,pm2_5,39.2
2026-09-14 19:00:00,pm2_5,39.9
2026-09-14 20:00:00,pm2_5,39.6
2026-09-14 21:00:00,pm2_5,39.5
2026-09-14 22:00:00,pm2_5,40.2
2026-09-14 23:00:00,pm2_5,40.0
2026-09-15 00:00:00,pm2_5,36.7
2026-09-15 01:00:00,pm2_5,32.1
2026-09-15 02:00:00,pm2_5,22.6
2026-09-15 03:00:00,pm2_5,18.8
2026-09-15 04:00:00,pm2_5,19.3
2026-09-15 05:00:00,pm2_5,20.6
2026-09-15 06:00:00,pm2_5,22.0
2026-09-15 07:00:00,pm2_5,24.9
2026-09-15 08:00:00,pm2_5,24.7
2026-09-15 09:00:00,pm2_5,24.9
2026-09-15 10:00:00,pm2_5,24.6
2026-09-15 11:00:00,pm2_5,25.2
2026-09-15 12:00:00,pm2_5,26.9
2026-09-15 13:00:00,pm2_5,36.7
2026-09-15 14:00:00,pm2_5,51.8
2026-09-15 15:00:00,pm2_5,57.9
2026-09-15 16:00:00,pm2_5,62.6
2026-09-15 17:00:00,pm2_5,62.9
2026-09-15 18:00:00,pm2_5,67.1
2026-09-15 19:00:00,pm2_5,66.8
2026-09-15 20:00:00,pm2_5,63.3
2026-09-15 21:00:00,pm2_5,61.9
2026-09-15 22:00:00,pm2_5,60.1
2026-09-15 23:00:00,pm2_5,59.3
2026-09-16 00:00:00,pm2_5,62.4
2026-09-16 01:00:00,pm2_5,68.0
2026-09-16 02:00:00,pm2_5,68.2
2026-09-16 03:00:00,pm2_5,48.2
2026-09-16 04:00:00,pm2_5,35.9
2026-09-16 05:00:00,pm2_5,33.5
2026-09-16 06:00:00,pm2_5,36.3
2026-09-16 07:00:00,pm2_5,41.8
2026-09-16 08:00:00,pm2_5,44.1
2026-09-16 09:00:00,pm2_5,46.1
2026-09-16 10:00:00,pm2_5,47.3
2026-09-16 11:00:00,pm2_5,46.7
2026-09-16 12:00:00,pm2_5,47.6
2026-09-16 13:00:00,pm2_5,51.2
2026-09-16 14:00:00,pm2_5,57.5
2026-09-16 15:00:00,pm2_5,71.7
2026-09-16 16:00:00,pm2_5,79.9
2026-09-16 17:00:00,pm2_5,76.8
2026-09-16 18:00:00,pm2_5,71.5
2026-09-16 19:00:00,pm2_5,71.2
2026-09-16 20:00:00,pm2_5,72.6
2026-09-16 21:00:00,pm2_5,75.0
2026-09-16 22:00:00,pm2_5,77.8
2026-09-16 23:00:00,pm2_5,79.9
2026-09-17 00:00:00,pm2_5,84.1
2026-09-17 01:00:00,pm2_5,88.7
2026-09-17 02:00:00,pm2_5,80.6
2026-09-17 03:00:00,pm2_5,71.9
2026-09-17 04:00:00,pm2_5,58.2
2026-09-17 05:00:00,pm2_5,52.7
2026-09-17 06:00:00,pm2_5,49.2
2026-09-17 07:00:00,pm2_5,47.8
2026-09-17 08:00:00,pm2_5,46.7
2026-09-17 09:00:00,pm2_5,45.1
2026-09-17 10:00:00,pm2_5,43.9
2026-09-17 11:00:00,pm2_5,43.3
2026-09-17 12:00:00,pm2_5,45.5
2026-09-17 13:00:00,pm2_5,61.7
2026-09-17 14:00:00,pm2_5,69.2
2026-09-17 15:00:00,pm2_5,61.5
2026-09-17 16:00:00,pm2_5,51.3
2026-09-17 17:00:00,pm2_5,50.6
2026-09-17 18:00:00,pm2_5,56.0
2026-09-17 19:00:00,pm2_5,59.1
2026-09-17 20:00:00,pm2_5,61.7
2026-09-17 21:00:00,pm2_5,62.2
2026-09-17 22:00:00,pm2_5,61.7
2026-09-17 23:00:00,pm2_5,63.1
2026-09-18 00:00:00,pm2_5,68.2
2026-09-18 01:00:00,pm2_5,78.0
2026-09-18 02:00:00,pm2_5,79.6
2026-09-18 03:00:00,pm2_5,58.4
2026-09-18 04:00:00,pm2_5,48.9
2026-09-18 05:00:00,pm2_5,45.5
2026-09-18 06:00:00,pm2_5,42.5
2026-09-18 07:00:00,pm2_5,36.8
2026-09-18 08:00:00,pm2_5,35.7
2026-09-18 09:00:00,pm2_5,36.6
2026-09-18 10:00:00,pm2_5,37.0
2026-09-18 11:00:00,pm2_5,37.5
2026-09-18 12:00:00,pm2_5,39.6
2026-09-18 13:00:00,pm2_5,54.1
2026-09-18 14:00:00,pm2_5,71.0
2026-09-18 15:00:00,pm2_5,83.8
2026-09-18 16:00:00,pm2_5,91.3
2026-09-18 17:00:00,pm2_5,91.3
2026-09-18 18:00:00,pm2_5,86.1
2026-09-18 19:00:00,pm2_5,79.6
2026-09-18 20:00:00,pm2_5,78.5
2026-09-18 21:00:00,pm2_5,80.8
2026-09-18 22:00:00,pm2_5,81.5
2026-09-18 23:00:00,pm2_5,82.9
2026-09-14 00:00:00,pm10,26.3
2026-09-14 01:00:00,pm10,27.7
2026-09-14 02:00:00,pm10,28.2
2026-09-14 03:00:00,pm10,24.8
2026-09-14 04:00:00,pm10,23.6
2026-09-14 05:00:00,pm10,23.4
2026-09-14 06:00:00,pm10,25.0
2026-09-14 07:00:00,pm10,26.5
2026-09-14 08:00:00,pm10,28.2
2026-09-14 09:00:00,pm10,30.7
2026-09-14 10:00:00,pm10,32.7
2026-09-14 11:00:00,pm10,29.3
2026-09-14 12:00:00,pm10,30.9
2026-09-14 13:00:00,pm10,35.2
2026-09-14 14:00:00,pm10,39.7
2026-09-14 15:00:00,pm10,40.2
2026-09-14 16:00:00,pm10,41.9
2026-09-14 17:00:00,pm10,42.3
2026-09-14 18:00:00,pm10,39.7
2026-09-14 19:00:00,pm10,40.3
2026-09-14 20:00:00,pm10,39.9
2026-09-14 21:00:00,pm10,39.8
2026-09-14 22:00:00,pm10,40.5
2026-09-14 23:00:00,pm10,40.4
2026-09-15 00:00:00,pm10,37.0
2026-09-15 01:00:00,pm10,32.4
2026-09-15 02:00:00,pm10,22.8
2026-09-15 03:00:00,pm10,19.0
2026-09-15 04:00:00,pm10,19.5
2026-09-15 05:00:00,pm10,20.8
2026-09-15 06:00:00,pm10,22.3
2026-09-15 07:00:00,pm10,25.3
2026-09-15 08:00:00,pm10,27.5
2026-09-15 09:00:00,pm10,27.4
2026-09-15 10:00:00,pm10,25.8
2026-09-15 11:00:00,pm10,26.4
2026-09-15 12:00:00,pm10,27.8
2026-09-15 13:00:00,pm10,37.4
2026-09-15 14:00:00,pm10,52.3
2026-09-15 15:00:00,pm10,58.3
2026-09-15 16:00:00,pm10,62.9
2026-09-15 17:00:00,pm10,63.3
2026-09-15 18:00:00,pm10,67.3
2026-09-15 19:00:00,pm10,67.1
2026-09-15 20:00:00,pm10,63.6
2026-09-15 21:00:00,pm10,62.2
2026-09-15 22:00:00,pm10,60.1
2026-09-15 23:00:00,pm10,59.5
2026-09-16 00:00:00,pm10,62.6
2026-09-16 01:00:00,pm10,68.2
2026-09-16 02:00:00,pm10,68.5
2026-09-16 03:00:00,pm10,48.4
2026-09-16 04:00:00,pm10,36.0
2026-09-16 05:00:00,pm10,33.9
2026-09-16 06:00:00,pm10,36.7
2026-09-16 07:00:00,pm10,42.3
2026-09-16 08:00:00,pm10,44.6
2026-09-16 09:00:00,pm10,46.8
2026-09-16 10:00:00,pm10,48.0
2026-09-16 11:00:00,pm10,47.4
2026-09-16 12:00:00,pm10,48.3
2026-09-16 13:00:00,pm10,51.7
2026-09-16 14:00:00,pm10,58.0
2026-09-16 15:00:00,pm10,72.2
2026-09-16 16:00:00,pm10,80.3
2026-09-16 17:00:00,pm10,77.3
2026-09-16 18:00:00,pm10,71.9
2026-09-16 19:00:00,pm10,71.5
2026-09-16 20:00:00,pm10,73.1
2026-09-16 21:00:00,pm10,75.4
2026-09-16 22:00:00,pm10,78.2
2026-09-16 23:00:00,pm10,80.3
2026-09-17 00:00:00,pm10,84.5
2026-09-17 01:00:00,pm10,89.2
2026-09-17 02:00:00,pm10,81.3
2026-09-17 03:00:00,pm10,72.6
2026-09-17 04:00:00,pm10,58.9
2026-09-17 05:00:00,pm10,53.8
2026-09-17 06:00:00,pm10,51.0
2026-09-17 07:00:00,pm10,50.2
2026-09-17 08:00:00,pm10,50.2
2026-09-17 09:00:00,pm10,48.0
2026-09-17 10:00:00,pm10,47.6
2026-09-17 11:00:00,pm10,46.6
2026-09-17 12:00:00,pm10,48.4
2026-09-17 13:00:00,pm10,64.0
2026-09-17 14:00:00,pm10,71.2
2026-09-17 15:00:00,pm10,64.7
2026-09-17 16:00:00,pm10,53.8
2026-09-17 17:00:00,pm10,52.9
2026-09-17 18:00:00,pm10,57.9
2026-09-17 19:00:00,pm10,60.8
2026-09-17 20:00:00,pm10,63.3
2026-09-17 21:00:00,pm10,63.8
2026-09-17 22:00:00,pm10,63.6
2026-09-17 23:00:00,pm10,65.0
2026-09-18 00:00:00,pm10,70.3
2026-09-18 01:00:00,pm10,80.1
2026-09-18 02:00:00,pm10,81.7
2026-09-18 03:00:00,pm10,61.2
2026-09-18 04:00:00,pm10,51.7
2026-09-18 05:00:00,pm10,48.9
2026-09-18 06:00:00,pm10,46.7
2026-09-18 07:00:00,pm10,43.2
2026-09-18 08:00:00,pm10,41.6
2026-09-18 09:00:00,pm10,42.6
2026-09-18 10:00:00,pm10,43.4
2026-09-18 11:00:00,pm10,44.0
2026-09-18 12:00:00,pm10,45.6
2026-09-18 13:00:00,pm10,59.6
2026-09-18 14:00:00,pm10,76.8
2026-09-18 15:00:00,pm10,89.4
2026-09-18 16:00:00,pm10,96.9
2026-09-18 17:00:00,pm10,96.6
2026-09-18 18:00:00,pm10,91.3
2026-09-18 19:00:00,pm10,84.8
2026-09-18 20:00:00,pm10,83.6
2026-09-18 21:00:00,pm10,86.1
2026-09-18 22:00:00,pm10,86.8
2026-09-18 23:00:00,pm10,88.2
