parameter,value,datetimeLocal
co,0.62,2026-05-19 05:45:00+05:30
co,0.61,2026-05-19 06:00:00+05:30
co,0.63,2026-05-19 06:15:00+05:30
co,0.66,2026-05-19 06:30:00+05:30
co,0.68,2026-05-19 06:45:00+05:30
co,0.73,2026-05-19 07:00:00+05:30
co,0.77,2026-05-19 07:15:00+05:30
co,0.79,2026-05-19 07:30:00+05:30
co,0.74,2026-05-19 07:45:00+05:30
co,0.7,2026-05-19 08:00:00+05:30
co,0.67,2026-05-19 08:15:00+05:30
co,0.63,2026-05-19 08:30:00+05:30
co,0.6,2026-05-19 08:45:00+05:30
co,0.55,2026-05-19 09:00:00+05:30
co,0.56,2026-05-19 09:15:00+05:30
co,0.56,2026-05-19 09:30:00+05:30
co,0.53,2026-05-19 09:45:00+05:30
co,0.49,2026-05-19 10:00:00+05:30
co,0.49,2026-05-19 10:15:00+05:30
co,0.48,2026-05-19 10:30:00+05:30
co,0.45,2026-05-19 10:45:00+05:30
co,0.4,2026-05-19 11:00:00+05:30
co,0.43,2026-05-19 11:30:00+05:30
co,0.41,2026-05-19 11:45:00+05:30
co,0.35,2026-05-19 12:00:00+05:30
co,0.39,2026-05-19 12:15:00+05:30
co,0.4,2026-05-19 12:30:00+05:30
co,0.4,2026-05-19 12:45:00+05:30
co,0.39,2026-05-19 13:00:00+05:30
co,0.38,2026-05-19 13:15:00+05:30
co,0.36,2026-05-19 13:30:00+05:30
co,0.36,2026-05-19 13:45:00+05:30
co,0.38,2026-05-19 14:45:00+05:30
co,0.35,2026-05-19 15:00:00+05:30
co,0.35,2026-05-19 15:15:00+05:30
co,0.35,2026-05-19 15:30:00+05:30
co,0.35,2026-05-19 15:45:00+05:30
co,0.34,2026-05-19 16:00:00+05:30
co,0.35,2026-05-19 16:15:00+05:30
co,0.36,2026-05-19 16:30:00+05:30
co,0.37,2026-05-19 16:45:00+05:30
co,0.34,2026-05-19 17:00:00+05:30
co,0.34,2026-05-19 17:15:00+05:30
co,0.36,2026-05-19 17:30:00+05:30
co,0.34,2026-05-19 17:45:00+05:30
co,0.33,2026-05-19 18:00:00+05:30
co,0.35,2026-05-19 18:15:00+05:30
co,0.4,2026-05-19 18:30:00+05:30
co,0.45,2026-05-19 18:45:00+05:30
co,0.47,2026-05-19 19:00:00+05:30
co,0.54,2026-05-19 19:15:00+05:30
co,0.63,2026-05-19 19:30:00+05:30
co,0.7,2026-05-19 19:45:00+05:30
co,0.89,2026-05-19 20:15:00+05:30
co,1.1,2026-05-19 20:30:00+05:30
co,1.24,2026-05-19 20:45:00+05:30
co,1.27,2026-05-19 21:00:00+05:30
co,1.29,2026-05-19 21:15:00+05:30
co,1.42,2026-05-19 21:30:00+05:30
co,1.39,2026-05-19 21:45:00+05:30
co,1.45,2026-05-19 22:00:00+05:30
co,1.45,2026-05-19 22:15:00+05:30
co,1.36,2026-05-19 22:30:00+05:30
co,1.36,2026-05-19 22:45:00+05:30
co,1.35,2026-05-19 23:00:00+05:30
co,1.36,2026-05-19 23:15:00+05:30
co,1.34,2026-05-19 23:30:00+05:30
co,1.3,2026-05-19 23:45:00+05:30
co,1.19,2026-05-20 00:45:00+05:30
co,1.14,2026-05-20 01:00:00+05:30
co,1.13,2026-05-20 01:15:00+05:30
co,1.11,2026-05-20 01:30:00+05:30
co,1.07,2026-05-20 01:45:00+05:30
co,1.02,2026-05-20 02:00:00+05:30
co,1.01,2026-05-20 02:15:00+05:30
co,1.01,2026-05-20 02:30:00+05:30
co,0.97,2026-05-20 02:45:00+05:30
co,0.93,2026-05-20 03:00:00+05:30
co,0.93,2026-05-20 03:15:00+05:30
co,0.93,2026-05-20 03:30:00+05:30
co,0.92,2026-05-20 03:45:00+05:30
co,0.88,2026-05-20 04:00:00+05:30
co,0.87,2026-05-20 04:15:00+05:30
co,0.88,2026-05-20 04:30:00+05:30
co,0.85,2026-05-20 04:45:00+05:30
co,0.81,2026-05-20 05:00:00+05:30
co,0.83,2026-05-20 05:15:00+05:30
co,0.84,2026-05-20 05:30:00+05:30
co,0.82,2026-05-20 05:45:00+05:30
co,0.82,2026-05-20 06:00:00+05:30
co,0.86,2026-05-20 06:15:00+05:30
co,0.88,2026-05-20 06:30:00+05:30
co,0.9,2026-05-20 06:45:00+05:30
co,0.86,2026-05-20 07:00:00+05:30
co,0.88,2026-05-20 07:15:00+05:30
co,0.88,2026-05-20 07:30:00+05:30
co,0.86,2026-05-20 07:45:00+05:30
co,0.81,2026-05-20 08:00:00+05:30
co,0.8,2026-05-20 08:15:00+05:30
co,0.8,2026-05-20 08:30:00+05:30
co,0.78,2026-05-20 08:45:00+05:30
co,0.72,2026-05-20 09:00:00+05:30
co,0.72,2026-05-20 09:15:00+05:30
co,0.71,2026-05-20 09:30:00+05:30
co,0.62,2026-05-20 10:15:00+05:30
co,0.61,2026-05-20 10:30:00+05:30
co,0.58,2026-05-20 10:45:00+05:30
co,0.51,2026-05-20 12:00:00+05:30
